id,name,has_lights,park,field_usage,goal_post,infield_type,left_field_distance,center_field_distance,right_field_distance,backstop,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1914615260,Arlington Field 1,t,Arlington Park,Diamond Only,0,Skinned,160,230,290,NA,South Side Slopes,3,16,42003160800,3,16,3,22-Apr,40.41831418,-79.97500679
1151740179,Armstrong,f,Armstrong Park,Diamond and Rectangular,0,Skinned,240,163,122,NA,South Side Flats,3,17,42003170200,3,17,3,24-Apr,40.42807417,-79.98566223
971009139,Bandbox,f,Arsenal Park,Diamond Only,0,Skinned,135,200,150,NA,Lower Lawrenceville,7,6,42003060300,2,6,2,3-Mar,40.46633089,-79.96129932
1581124728,Banksville,f,Banksville Park,Diamond Only,0,Skinned,304,354,373,NA,Banksville,2,20,42003202300,5,20,6,9-Apr,40.41392315,-80.03993982
1052125703,Banksville School,t,Banksville School Park,Diamond Only,0,Skinned,180,175,185,NA,Banksville,2,20,42003202300,5,20,6,9-Apr,40.40705882,-80.03787026
491692062,Bigbee,f,Emerald View Park - Bigbee Field Park,Rectangular Only,0,N/A,NA,NA,NA,NA,Allentown,3,18,42003180300,5,18,3,5-Apr,40.42784896,-80.00122333
332143201,Bill Stoltz,t,Arlington Park,Diamond Only,0,Skinned,210,250,240,NA,South Side Slopes,3,16,42003160800,3,16,3,22-Apr,40.41862359,-79.97495898
800768920,Brighton Heights Field 1,f,Brighton Heights Park,Diamond Only,0,Skinned,170,170,170,NA,Brighton Heights,1,27,42003270800,1,27,1,14-Jan,40.48858153,-80.03307241
742572488,Brighton Heights Field 2,f,Brighton Heights Park,Diamond Only,0,Skinned,260,375,252,NA,Brighton Heights,1,27,42003270800,1,27,1,14-Jan,40.48815225,-80.032783
183023484,Brighton Heights Field 3 - John Merry,f,Brighton Heights Park,Diamond Only,0,Skinned,310,333,327,NA,Brighton Heights,1,27,42003270800,1,27,1,14-Jan,40.48773906,-80.03253323
228456835,Brighton Heights Field 4,f,Brighton Heights Park,Diamond Only,0,Skinned,196,240,180,NA,Brighton Heights,1,27,42003270800,1,27,1,14-Jan,40.48636583,-80.03122164
2054874405,Brighton Heights Field 5,f,Brighton Heights Park,Diamond Only,0,Skinned,198,198,196,NA,Brighton Heights,1,27,42003270800,1,27,1,14-Jan,40.48603337,-80.03063053
604996899,Brighton Heights Field 6 - Camelius Sangnini,f,Brighton Heights Park,Diamond Only,0,Skinned,198,198,198,NA,Brighton Heights,1,27,42003270800,1,27,1,14-Jan,40.48650188,-80.02986935
1281324044,Bud Hammer,f,Bud Hammer Park,Diamond Only,0,Skinned,182,193,182,NA,Hazelwood,5,15,42003562900,3,15,4,12-Feb,40.42048565,-79.94657049
456911521,Burgwin,t,Burgwin Park,Rectangular Only,1,N/A,NA,NA,NA,NA,Hazelwood,5,15,42003562300,3,15,4,13-Feb,40.40444837,-79.93733431
72518444,Chadwick,f,Chadwick Park,Rectangular Only,2,N/A,NA,NA,NA,NA,Lincoln-Lemington-Belmar,9,12,42003561900,2,12,5,18-Mar,40.46566539,-79.89175382
238269429,Chartiers,t,Chartiers Park,Diamond Only,0,Skinned,305,375,375,NA,Windgap,2,28,42003563000,5,28,6,16-Jan,40.45699572,-80.07407273
1324608669,Cowley Field 1,t,Cowley Park,Diamond Only,0,Skinned,248,264,178,NA,Troy Hill,1,24,42003240600,1,24,1,2-Jan,40.45849173,-79.98896073
1984325264,Cowley Field 2,t,Cowley Park,Diamond Only,0,Skinned,217,220,170,NA,Troy Hill,1,24,42003240600,1,24,1,2-Jan,40.45841345,-79.98938903
1120335247,Dan Marino,t,Frazier Park,Diamond Only,0,Skinned,300,320,300,NA,South Oakland,3,4,42003040900,3,4,4,11-Feb,40.42925285,-79.95468111
1075365641,Danny McGibbeny Memorial Field,f,Brookline Memorial Park,Diamond and Rectangular,2,Skinned,200,197,197,NA,Brookline,4,32,42003320600,5,32,6,26-Apr,40.39161055,-80.00688356
303372721,Devlin,f,Devlin Field Park,Diamond Only,0,Skinned,292,300,296,NA,Arlington,3,16,42003561600,3,16,3,8-Apr,40.41404879,-79.96234371
140274785,Dilworth Field 1 Lower,t,Emerald View Park - Mt. Washington Park,Diamond Only,0,Skinned,175,170,190,NA,Mount Washington,2,19,42003191400,5,19,3,27-Apr,40.42436008,-80.01478162
1963449609,Dilworth Field 2 Upper,t,Emerald View Park - Mt. Washington Park,Diamond Only,0,Skinned,165,175,200,NA,Mount Washington,2,19,42003191400,5,19,3,27-Apr,40.4245104,-80.01418879
1469969693,Dunbar Field 1,t,Dunbar Park,Diamond Only,0,Skinned,300,400,275,NA,Crafton Heights,2,28,42003281500,5,28,6,18-Jan,40.43891028,-80.05213701
1230751611,Dunbar Field 2,t,Dunbar Park,Diamond Only,0,Skinned,275,372,235,NA,Crafton Heights,2,28,42003281500,5,28,6,18-Jan,40.4385953,-80.05252163
1718657420,East Hills,f,East Hills Park,Diamond Only,0,Skinned,255,270,255,NA,East Hills,9,13,42003130600,2,13,5,19-Mar,40.4531361,-79.8695421
