Neighborhood,Sector #,Population (2010),#Part 1 (Major Crime) Reports (2010),#Part 2 Reports (2010),#Other Police Reports (2010),Part 1 Crime per 100 Persons (2010),Part 2 Crime per 100 Persons (2010),#Murder (2010),#Rape (2010),#Robbery (2010),#Agr. Assault (2010),#Burglary (2010),#Auto Theft (2010),#Drug Violations (2010),Score,z(type 1),z(type 2),Pop. Mean (Type 1),Pop. Mean (Type 2),,Standard Deviation (Type 1),Standard Deviation (Type 2)
Allegheny Center,3,933,71,141,46,7.6,15.1,0,2,9,5,8,5,31,0.648393079,0.653973485,0.457882517,4.810227273,6.302272727,,4.265880485,5.232698271
Allegheny West,3,462,38,49,31,8.2,10.6,1,0,4,6,6,4,12,1.463907287,0.794624402,0.321427462,,,,,
Allentown,6,"2,500",159,252,160,6.4,10.1,0,2,15,23,48,11,66,0.142428075,0.372671652,0.306265789,,,,,
Arlington,7,"1,869",50,84,48,2.7,4.5,0,1,8,5,15,7,9,-0.180253069,-0.494675667,0.136455055,,,,,
Arlington Heights,7,244,19,37,24,7.8,15.2,0,0,4,5,5,3,7,2.626522769,0.700857124,0.460914851,,,,,
Banksville,5,"4,144",62,81,61,1.5,2,0,0,2,5,9,5,7,-0.136781238,-0.7759775,0.060646691,,,,,
Bedford Dwellings,15,"1,202",42,80,38,3.5,6.7,0,0,7,8,8,2,25,-0.149387878,-0.307141111,0.203166415,,,,,
Beechview,5,"7,974",193,303,148,2.4,3.8,1,1,7,9,47,37,29,-0.049528927,-0.565001125,0.115228713,,,,,
Beltzhoover,6,"1,925",83,131,85,4.3,6.8,1,0,6,10,28,8,38,-0.019820899,-0.119606556,0.206198749,,,,,
Bloomfield,12,"8,442",453,371,296,5.4,4.4,0,3,45,20,70,36,42,0.016233804,0.138253458,0.13342272,,,,,
Bluff,15,"6,600",105,191,132,1.6,2.9,0,0,12,11,14,14,37,-0.082184445,-0.75253568,0.087937702,,,,,
Bon Air,6,808,26,55,38,3.2,6.8,0,0,1,4,7,1,11,-0.286572079,-0.37746657,0.206198749,,,,,
Brighton Heights,2,"7,247",241,286,151,3.3,3.9,0,2,17,23,69,29,34,-0.032558755,-0.35402475,0.118261047,,,,,
Brookline,5,"13,214",241,392,248,1.8,3,0,1,12,24,43,27,36,-0.038330295,-0.705652041,0.090970036,,,,,
California-Kirkbride,3,761,64,89,74,8.4,11.7,1,0,1,6,12,9,48,0.945895947,0.84150804,0.354783142,,,,,
Carrick,5,"10,113",453,539,355,4.5,5.3,1,2,49,28,118,48,58,-0.001420326,-0.072722917,0.160713731,,,,,
Central Business District,16,"3,629",789,566,386,21.7,15.6,0,4,55,27,66,20,66,0.85084419,3.959270023,0.473044189,,,,,
Central Lawrenceville,13,"4,482",177,231,169,3.9,5.2,0,1,18,12,25,34,40,-0.026909867,-0.213373834,0.157681396,,,,,
Central Northside,3,"2,923",118,246,93,4,8.4,0,1,15,10,29,12,58,-0.026948336,-0.189932014,0.254716102,,,,,
Central Oakland,14,"6,086",236,164,139,3.9,2.7,0,1,23,8,66,14,7,-0.022931666,-0.213373834,0.081873033,,,,,
Chartiers City,4,477,9,20,15,1.9,4.2,0,0,0,4,2,2,3,-1.005908079,-0.682210222,0.127358051,,,,,
Crafton Heights,4,"3,814",89,150,68,2.3,3.9,0,2,4,7,29,8,23,-0.107961968,-0.588442944,0.118261047,,,,,
Crawford-Roberts,15,"2,256",129,197,102,5.7,8.7,0,0,16,10,20,21,90,0.098576003,0.208578916,0.263813106,,,,,
Duquesne Heights,6,"2,425",55,44,50,2.3,1.8,0,0,0,4,21,5,2,-0.176365651,-0.588442944,0.054582022,,,,,
East Allegheny,3,"2,136",234,317,128,11,14.8,0,2,32,28,40,23,73,0.562005097,1.450995345,0.448785513,,,,,
East Carnegie,4,570,9,11,11,1.6,1.9,0,0,0,1,5,0,0,-0.964909072,-0.75253568,0.057614356,,,,,
East Hills,11,"3,169",90,136,88,2.8,4.3,0,0,13,16,25,11,18,-0.101239441,-0.471233847,0.130390386,,,,,
East Liberty,12,"5,869",488,446,302,8.3,7.6,2,2,63,40,64,59,57,0.114357475,0.818066221,0.230457426,,,,,
Elliott,4,"2,381",105,165,97,4.4,6.9,2,0,18,7,22,10,23,-0.008322462,-0.096164736,0.209231084,,,,,
Esplen,4,301,31,68,17,10.3,22.6,0,0,5,3,10,6,11,3.775760329,1.286902609,0.685307608,,,,,
Fairywood,4,"1,002",3,6,9,0.3,0.6,0,0,0,0,1,0,0,-0.786837323,-1.057279333,0.018194007,,,,,
Fineview,3,"1,285",70,162,41,5.4,12.6,1,1,6,19,19,8,59,0.155026172,0.138253458,0.382074153,,,,,
Friendship,12,"1,785",89,44,36,5,2.5,0,0,7,4,9,15,8,0.02930909,0.04448618,0.075808364,,,,,
Garfield,12,"3,675",182,213,159,5,5.8,2,1,14,11,50,35,39,0.021043125,0.04448618,0.175875404,,,,,
Glen Hazel,9,716,10,33,16,1.4,4.6,0,1,2,2,3,1,2,-0.788676874,-0.799419319,0.139487389,,,,,
Greenfield,9,"7,294",145,170,153,2,2.3,0,2,7,6,43,15,23,-0.065346912,-0.658768403,0.069743695,,,,,
Hays,8,362,15,17,7,4.1,4.7,0,0,0,1,5,4,1,-0.246513025,-0.166490195,0.142519724,,,,,
Hazelwood,9,"4,317",159,215,124,3.7,5,1,0,10,17,47,25,44,-0.036434775,-0.260257472,0.151616727,,,,,
Highland Park,12,"6,395",182,165,140,2.8,2.6,1,0,14,8,25,20,45,-0.05218377,-0.471233847,0.078840698,,,,,
Homewood North,11,"3,280",198,190,135,6,5.8,3,3,14,33,68,24,23,0.077179004,0.278904374,0.175875404,,,,,
Homewood South,11,"2,344",243,274,197,10.4,11.7,4,0,38,25,74,30,50,0.457104994,1.310344429,0.354783142,,,,,
Homewood West,11,818,56,75,52,6.8,9.2,1,0,8,3,11,13,7,0.512925296,0.46643893,0.278974778,,,,,
Knoxville,6,"3,747",223,392,170,6,10.5,2,3,25,29,83,21,113,0.077068872,0.278904374,0.318395127,,,,,
Larimer,12,"1,728",139,125,90,8,7.2,3,1,16,19,33,24,22,0.35612708,0.747740763,0.218328087,,,,,
Lincoln Place,8,"3,227",32,63,33,1,2,0,0,1,3,11,2,0,-0.202890696,-0.893186597,0.060646691,,,,,
Lincoln-Lemington-Belmar,11,"4,883",133,176,113,2.7,3.6,0,0,19,13,34,19,15,-0.07039028,-0.494675667,0.109164044,,,,,
Lower Lawrenceville,13,"2,341",107,126,80,4.6,5.4,0,2,6,9,29,16,21,0.001698288,-0.049281098,0.163746066,,,,,
Manchester,3,"2,130",69,137,63,3.2,6.4,0,0,7,8,19,12,44,-0.110132664,-0.37746657,0.194069411,,,,,
Marshall-Shadeland,2,"6,043",222,307,126,3.7,5.1,1,0,26,24,65,21,31,-0.025902836,-0.260257472,0.154649062,,,,,
Middle Hill,15,"1,707",114,234,126,6.7,13.7,0,0,16,10,17,25,102,0.255480545,0.44299711,0.415429833,,,,,
Morningside,12,"3,346",67,91,65,2,2.7,0,0,2,2,21,15,12,-0.141544544,-0.658768403,0.081873033,,,,,
Mount Washington,6,"8,799",434,428,282,4.9,4.9,0,3,22,23,115,38,44,0.006015385,0.021044361,0.148584393,,,,,
Mt. Oliver,7,509,12,28,16,2.4,5.5,0,1,0,4,1,3,2,-0.750601657,-0.565001125,0.1667784,,,,,
New Homestead,8,990,7,4,9,0.7,0.4,0,0,0,0,1,2,1,-0.726870411,-0.963512055,0.012129338,,,,,
North Oakland,14,"10,551",182,136,160,1.7,1.3,0,0,16,7,35,13,12,-0.050892362,-0.729093861,0.039420349,,,,,
North Shore,16,303,72,68,43,23.8,22.4,0,0,1,6,7,5,8,11.57911521,4.451548231,0.679242939,,,,,
Northview Heights,1,"1,214",63,126,30,5.2,10.4,1,0,6,17,16,1,19,0.121390496,0.091369819,0.315362793,,,,,
Oakwood,4,"1,027",14,14,23,1.4,1.4,0,0,2,1,2,1,2,-0.573467691,-0.799419319,0.042452684,,,,,
Overbrook,5,"3,644",73,92,98,2,2.5,0,0,4,7,26,14,9,-0.130385349,-0.658768403,0.075808364,,,,,
Perry North,2,"4,050",112,199,77,2.8,4.9,1,0,6,8,45,12,31,-0.078093651,-0.471233847,0.148584393,,,,,
Perry South,2,"4,145",221,310,132,5.3,7.5,2,0,11,29,82,28,87,0.034490953,0.114811638,0.227425091,,,,,
Point Breeze,10,"5,315",116,72,68,2.2,1.4,0,0,6,3,29,4,13,-0.084346266,-0.611884764,0.042452684,,,,,
Point Breeze North,11,"2,054",84,63,63,4.1,3.1,0,0,4,5,13,10,9,-0.049351048,-0.166490195,0.094002371,,,,,
Polish Hill,13,"1,274",34,39,40,2.7,3.1,1,0,3,3,6,8,11,-0.272767784,-0.494675667,0.094002371,,,,,
Regent Square,10,928,38,14,12,4.1,1.5,0,1,2,0,6,1,1,-0.122302146,-0.166490195,0.045485018,,,,,
Ridgemont,4,483,14,15,7,2.9,3.1,0,0,0,1,3,0,2,-0.646673764,-0.447792028,0.094002371,,,,,
Shadyside,12,"13,915",623,308,285,4.5,2.2,0,1,24,10,60,53,14,-0.002721117,-0.072722917,0.06671136,,,,,
Sheraden,4,"5,299",222,384,184,4.2,7.2,2,3,21,21,73,25,61,-0.009946077,-0.143048375,0.218328087,,,,,
South Oakland,14,"2,969",104,110,87,3.5,3.7,0,1,2,3,37,19,13,-0.06813969,-0.307141111,0.112196378,,,,,
South Side Flats,7,"6,597",669,770,537,10.1,11.7,1,6,52,61,74,56,53,0.154420193,1.240018971,0.354783142,,,,,
South Side Slopes,7,"4,423",210,203,172,4.7,4.6,0,0,15,14,65,23,27,0.003502688,-0.025839278,0.139487389,,,,,
Spring Garden,1,884,36,61,30,4.1,6.9,0,0,2,7,10,3,9,-0.082081307,-0.166490195,0.209231084,,,,,
Spring Hill-City View,1,"2,648",121,173,49,4.6,6.5,0,0,15,15,32,9,52,0.004650534,-0.049281098,0.197101746,,,,,
Squirrel Hill North,10,"11,363",148,110,120,1.3,1,0,0,4,3,33,16,15,-0.053644726,-0.822861139,0.030323345,,,,,
Squirrel Hill South,10,"15,110",331,210,190,2.2,1.4,0,0,22,5,70,29,8,-0.02966912,-0.611884764,0.042452684,,,,,
St. Clair,7,209,14,10,10,6.7,4.8,0,0,0,2,2,4,0,1.763807881,0.44299711,0.145552058,,,,,
Stanton Heights,13,"4,601",67,88,67,1.5,1.9,0,1,3,4,20,12,7,-0.123360038,-0.7759775,0.057614356,,,,,
Strip District,13,616,155,167,142,25.2,27.1,0,0,12,14,20,18,38,6.152988544,4.779733703,0.821762662,,,,,
Summer Hill,1,"1,051",13,22,13,1.2,2.1,0,0,0,1,2,2,1,-0.588779698,-0.846302958,0.063679025,,,,,
Swisshelm Park,10,"1,361",28,14,12,2.1,1,0,0,0,0,4,2,0,-0.344536445,-0.635326583,0.030323345,,,,,
Terrace Village,15,"3,228",163,263,104,5,8.1,5,1,22,26,37,25,71,0.029358553,0.04448618,0.245619098,,,,,
Troy Hill,1,"2,714",163,176,91,6,6.5,1,0,19,10,46,12,27,0.095229815,0.278904374,0.197101746,,,,,
Upper Hill,15,"2,057",45,79,43,2.2,3.8,2,3,6,8,5,6,9,-0.209094018,-0.611884764,0.115228713,,,,,
Upper Lawrenceville,13,"2,669",92,184,73,3.4,6.9,0,0,12,9,24,12,29,-0.0732969,-0.330582931,0.209231084,,,,,
West End,4,254,23,54,66,9.1,21.3,0,1,2,3,7,3,30,3.605009436,1.005600776,0.645887259,,,,,
West Oakland,14,"2,604",82,65,80,3.1,2.5,1,1,13,4,14,8,13,-0.108190937,-0.400908389,0.075808364,,,,,
Westwood,4,"3,066",57,53,44,1.9,1.7,0,1,1,4,17,6,3,-0.162677836,-0.682210222,0.051549687,,,,,
Windgap,4,"1,369",41,40,28,3,2.9,1,0,4,1,8,7,5,-0.216419453,-0.424350208,0.087937702,,,,,
